company,status,ats_type,career_url,error
Outset,imported,unknown,https://outset.com/careers,
duvo.ai,imported,unknown,https://duvo.ai.com/careers,
Safebooks AI,imported,unknown,https://safebooksai.com/careers,
Vinci4D.ai,imported,unknown,https://vinci4d.ai.com/careers,
Clarity Pediatrics,imported,unknown,https://claritypediatrics.com/careers,
Tin Can,imported,unknown,https://tincan.com/careers,
Trigger.dev,imported,unknown,https://trigger.dev.com/careers,
Fin,imported,unknown,https://fin.com/careers,
Bitstack,imported,unknown,https://bitstack.com/careers,
BoldVoice,imported,unknown,https://boldvoice.com/careers,
Trial Library,imported,unknown,https://triallibrary.com/careers,
Simular,imported,unknown,https://simular.com/careers,
Qargo TMS,imported,unknown,https://qargotms.com/careers,
Ritten,imported,unknown,https://ritten.com/careers,
Supper,imported,unknown,https://supper.com/careers,
Tutor,imported,unknown,https://tutor.com/careers,
FINNY,imported,unknown,https://finny.com/careers,
Pirros,imported,unknown,https://pirros.com/careers,
Studio,imported,unknown,https://studio.com/careers,
Maverick Metals,imported,unknown,https://maverickmetals.com/careers,
Orion,imported,unknown,https://orion.com/careers,
Light,imported,unknown,https://light.com/careers,
FLORA,imported,unknown,https://flora.com/careers,
Valerie Health,imported,unknown,https://valeriehealth.com/careers,
Starbridge,imported,unknown,https://starbridge.com/careers,
Maxima,imported,unknown,https://maxima.com/careers,
Keycard,imported,unknown,https://keycard.com/careers,
Flexion Robotics,imported,unknown,https://flexionrobotics.com/careers,
DualEntry,imported,unknown,https://dualentry.com/careers,
Doctronic,imported,unknown,https://doctronic.com/careers,
Delian Alliance Industries,imported,unknown,https://delianallianceindustries.com/careers,
Crosby,imported,unknown,https://crosby.com/careers,
ChipAgents,imported,unknown,https://chipagents.com/careers,
Braveheart Bio,imported,unknown,https://braveheartbio.com/careers,
Bobyard,imported,unknown,https://bobyard.com/careers,
Blossom,imported,unknown,https://blossom.com/careers,
Arbio,imported,unknown,https://arbio.com/careers,
1mind,imported,unknown,https://1mind.com/careers,
YO,imported,unknown,https://yo.com/careers,
Fermi America,imported,unknown,https://fermiamerica.com/careers,
Earthful.me,imported,unknown,https://earthful.me.com/careers,
Social Agent,imported,unknown,https://socialagent.com/careers,
Terranova,imported,unknown,https://terranova.com/careers,
Bespoke Labs,imported,unknown,https://bespokelabs.com/careers,
Lyceum,imported,unknown,https://lyceum.com/careers,
Perle,imported,unknown,https://perle.com/careers,
TwinMind,imported,unknown,https://twinmind.com/careers,
Provision,imported,unknown,https://provision.com/careers,
CoreStory,imported,unknown,https://corestory.com/careers,
Tempo,imported,unknown,https://tempo.com/careers,
Willow,imported,unknown,https://willow.com/careers,
Genspark,imported,unknown,https://genspark.com/careers,
OpenFX,imported,unknown,https://openfx.com/careers,
Wonderful,imported,unknown,https://wonderful.com/careers,
Biographica,imported,unknown,https://biographica.com/careers,
Vanna Health,imported,unknown,https://vannahealth.com/careers,
Popcorn,imported,unknown,https://popcorn.com/careers,
arcreal,imported,unknown,https://arcreal.com/careers,
Bahn Express,imported,unknown,https://bahnexpress.com/careers,
System,imported,unknown,https://system.com/careers,
Bolt Insight,imported,unknown,https://boltinsight.com/careers,
Sibros,imported,unknown,https://sibros.com/careers,
LawVu,imported,unknown,https://lawvu.com/careers,
Sofant,imported,unknown,https://sofant.com/careers,
Buildforce,imported,unknown,https://buildforce.com/careers,
STRM.BIO,imported,unknown,https://strm.bio.com/careers,
AgileRL,imported,unknown,https://agilerl.com/careers,
On Me,imported,unknown,https://onme.com/careers,
dazzle ai,imported,unknown,https://dazzleai.com/careers,
Navier AI,imported,unknown,https://navierai.com/careers,
EraDrive,imported,unknown,https://eradrive.com/careers,
Opine,imported,unknown,https://opine.com/careers,
Channel3,imported,unknown,https://channel3.com/careers,
Lucis (YC X25),imported,unknown,https://lucis(ycx25).com/careers,
Kilo Code,imported,unknown,https://kilocode.com/careers,
tofu,imported,unknown,https://tofu.com/careers,
NovoLINC,imported,unknown,https://novolinc.com/careers,
Kivo,imported,unknown,https://kivo.com/careers,
AIR Platforms,imported,unknown,https://airplatforms.com/careers,
Cleric,imported,unknown,https://cleric.com/careers,
Cynch AI,imported,unknown,https://cynchai.com/careers,
Double,imported,unknown,https://double.com/careers,
Union.ai,imported,unknown,https://union.ai.com/careers,
Sora Schools,imported,unknown,https://soraschools.com/careers,
Unusual,imported,unknown,https://unusual.com/careers,
Tobe Energy,imported,unknown,https://tobeenergy.com/careers,
PrediQT,imported,unknown,https://prediqt.com/careers,
Omni Instrument,imported,unknown,https://omniinstrument.com/careers,
Natural,imported,unknown,https://natural.com/careers,
"HammerheadAI, Inc..",imported,unknown,"https://hammerheadai,inc...com/careers",
GetMint,imported,unknown,https://getmint.com/careers,
Flux Photonics,imported,unknown,https://fluxphotonics.com/careers,
Avallon AI (YC X25),imported,unknown,https://avallonai(ycx25).com/careers,
AILOS-Robotics,imported,unknown,https://ailos-robotics.com/careers,
Blazel,imported,unknown,https://blazel.com/careers,
Jito Foundation,imported,unknown,https://jitofoundation.com/careers,
ZeroPhase,imported,unknown,https://zerophase.com/careers,
Airweave (YC X25),imported,unknown,https://airweave(ycx25).com/careers,
Fifth Door,imported,unknown,https://fifthdoor.com/careers,
General Reasoning,imported,unknown,https://generalreasoning.com/careers,
Netpreme,imported,unknown,https://netpreme.com/careers,
BluePill AI,imported,unknown,https://bluepillai.com/careers,
Double Blind Bio,imported,unknown,https://doubleblindbio.com/careers,
Ridley,imported,unknown,https://ridley.com/careers,
Cascade Space,imported,unknown,https://cascadespace.com/careers,
LemonSlice,imported,unknown,https://lemonslice.com/careers,
Dryft,imported,unknown,https://dryft.com/careers,
Unlimited Industries,imported,unknown,https://unlimitedindustries.com/careers,
Bedrock Robotics,imported,unknown,https://bedrockrobotics.com/careers,
The General Intelligence Company of New York,imported,unknown,https://thegeneralintelligencecompanyofnewyork.com/careers,
Candid Intelligence,imported,unknown,https://candidintelligence.com/careers,
Zipline,imported,unknown,https://zipline.com/careers,
Standard Nuclear,imported,unknown,https://standardnuclear.com/careers,
Onebrief,imported,unknown,https://onebrief.com/careers,
Synthesia,imported,unknown,https://synthesia.com/careers,
Arena,imported,unknown,https://arena.com/careers,
Tulip Interfaces,imported,unknown,https://tulipinterfaces.com/careers,
Neurophos,imported,unknown,https://neurophos.com/careers,
Oviva,imported,unknown,https://oviva.com/careers,
Torq,imported,unknown,https://torq.com/careers,
Varda Space Industries,imported,unknown,https://vardaspaceindustries.com/careers,
Fluidstack,imported,unknown,https://fluidstack.com/careers,
Pennylane,imported,unknown,https://pennylane.com/careers,
Waabi,imported,unknown,https://waabi.com/careers,
Mews,imported,unknown,https://mews.com/careers,
ClickHouse,imported,unknown,https://clickhouse.com/careers,
Zarminali Pediatrics,imported,unknown,https://zarminalipediatrics.com/careers,
DayOne,imported,unknown,https://dayone.com/careers,
Mytra,imported,unknown,https://mytra.com/careers,
Skild AI,imported,unknown,https://skildai.com/careers,
Highnote,imported,unknown,https://highnote.com/careers,
Noveon Magnetics,imported,unknown,https://noveonmagnetics.com/careers,
WeLab,imported,unknown,https://welab.com/careers,
JetZero,imported,unknown,https://jetzero.com/careers,
Clear Street,imported,unknown,https://clearstreet.com/careers,
Nelly Solutions,imported,unknown,https://nellysolutions.com/careers,
Zanskar,imported,unknown,https://zanskar.com/careers,
Parloa,imported,unknown,https://parloa.com/careers,
Upscale AI,imported,unknown,https://upscaleai.com/careers,
Decagon,imported,unknown,https://decagon.com/careers,
Upwind Security,imported,unknown,https://upwindsecurity.com/careers,
Baseten,imported,unknown,https://baseten.com/careers,
Defense Unicorns,imported,unknown,https://defenseunicorns.com/careers,
Oxide Computer,imported,unknown,https://oxidecomputer.com/careers,
